Customer_ID,Account_Age,Service_Usage,Billing_Info,Support_Interactions,Contract_Type,Age,Gender,Location,Income_Bracket,Transaction_Count,Payment_Frequency,Login_Frequency,NPS_Score,Churn_Flag
1,103,75.49,Manual Monthly,4,Yearly,40,Male,Bangalore,Low,8,Yearly,29,-16,0
2,52,4.03,Monthly AutoPay,5,Monthly,42,Female,Bangalore,High,20,Yearly,7,29,0
3,93,29.05,Prepaid,8,Monthly,25,Female,Hyderabad,High,16,Monthly,10,29,0
4,15,50.36,Yearly Plan,9,Monthly,51,Female,Hyderabad,High,2,Quarterly,12,47,0
5,107,5.46,Prepaid,9,Monthly,52,Male,Hyderabad,High,21,Monthly,15,-38,0
6,72,19.42,Prepaid,9,Yearly,39,Male,Bangalore,Low,2,Yearly,13,-44,0
7,61,93.52,Prepaid,10,Prepaid,51,Male,Hyderabad,Low,24,Yearly,16,44,0
8,21,97.71,Yearly Plan,10,Prepaid,45,Female,Chennai,Medium,24,Monthly,24,-38,0
9,103,74.24,Yearly Plan,1,Monthly,18,Male,Hyderabad,High,46,Monthly,4,64,0
10,83,25.97,Manual Monthly,4,Prepaid,61,Male,Delhi,Medium,46,Monthly,25,-89,0
11,87,26.79,Yearly Plan,8,Prepaid,54,Female,Hyderabad,Medium,42,Quarterly,12,-10,0
12,75,64.93,Manual Monthly,2,Monthly,47,Male,Chennai,High,10,Yearly,5,98,0
13,75,12.64,Yearly Plan,5,Monthly,67,Male,Bangalore,Low,43,Monthly,19,96,0
14,88,94.88,Manual Monthly,3,Prepaid,42,Male,Bangalore,Medium,44,Quarterly,1,-48,1
15,117,23.26,Prepaid,3,Yearly,68,Male,Bangalore,High,10,Quarterly,25,86,0
16,100,99.96,Yearly Plan,2,Prepaid,19,Male,Chennai,Medium,24,Monthly,19,11,0
17,104,50.08,Monthly AutoPay,9,Monthly,45,Male,Bangalore,Medium,47,Yearly,15,88,1
18,24,77.37,Monthly AutoPay,12,Prepaid,65,Male,Mumbai,Medium,39,Quarterly,27,59,0
19,3,1.22,Manual Monthly,0,Prepaid,45,Female,Hyderabad,Low,43,Monthly,26,-80,0
20,22,88.99,Yearly Plan,11,Yearly,40,Male,Chennai,Medium,46,Quarterly,3,64,1
21,53,27.73,Yearly Plan,10,Prepaid,55,Male,Hyderabad,High,11,Yearly,23,70,1
22,2,67.13,Monthly AutoPay,7,Prepaid,41,Male,Delhi,Low,14,Quarterly,12,38,0
23,88,80.83,Yearly Plan,4,Monthly,52,Female,Hyderabad,High,43,Quarterly,19,-49,0
24,108,17.25,Yearly Plan,1,Yearly,25,Female,Chennai,High,29,Yearly,16,-67,0
25,30,44.81,Manual Monthly,0,Prepaid,53,Male,Mumbai,High,7,Quarterly,28,-45,1
26,38,49.89,Prepaid,0,Prepaid,35,Female,Mumbai,Medium,12,Quarterly,22,10,0
27,2,31.9,Monthly AutoPay,3,Monthly,37,Female,Bangalore,Low,17,Yearly,21,47,0
28,64,48.69,Prepaid,14,Monthly,21,Male,Mumbai,Medium,39,Yearly,15,31,1
29,60,32.44,Yearly Plan,3,Yearly,25,Female,Delhi,High,13,Quarterly,9,23,1
30,21,36.71,Yearly Plan,5,Yearly,43,Male,Delhi,Medium,27,Quarterly,14,83,0
31,33,67.26,Manual Monthly,10,Yearly,56,Female,Hyderabad,Medium,23,Yearly,8,81,0
32,76,63.63,Prepaid,6,Monthly,37,Male,Delhi,Low,27,Yearly,18,-10,1
33,58,23.99,Prepaid,0,Monthly,35,Male,Chennai,High,9,Yearly,18,-82,0
34,22,89.85,Manual Monthly,9,Monthly,50,Male,Bangalore,High,4,Quarterly,17,-75,0
35,108,86.42,Prepaid,1,Monthly,35,Male,Delhi,High,8,Quarterly,1,-39,1
36,89,51.4,Manual Monthly,14,Yearly,51,Male,Bangalore,Medium,38,Quarterly,16,32,0
37,49,43.89,Manual Monthly,2,Yearly,36,Male,Bangalore,Medium,19,Yearly,27,-60,0
38,91,38.31,Yearly Plan,8,Yearly,59,Male,Hyderabad,Low,44,Yearly,1,14,0
39,59,71.02,Yearly Plan,3,Monthly,50,Female,Chennai,Low,22,Monthly,22,-8,0
40,42,67.49,Yearly Plan,5,Monthly,38,Female,Hyderabad,High,45,Monthly,7,-63,1
41,92,20.42,Manual Monthly,1,Monthly,24,Female,Delhi,Medium,19,Monthly,25,98,1
42,60,67.47,Yearly Plan,12,Monthly,31,Male,Delhi,Medium,2,Yearly,1,51,0
43,80,25.99,Monthly AutoPay,10,Prepaid,50,Female,Bangalore,High,6,Monthly,4,-68,0
44,15,2.84,Monthly AutoPay,1,Yearly,21,Female,Mumbai,Low,9,Monthly,28,-19,1
45,62,70.22,Yearly Plan,12,Yearly,60,Male,Bangalore,Low,44,Quarterly,7,8,0
46,62,64.83,Manual Monthly,14,Prepaid,19,Female,Chennai,Low,15,Quarterly,23,78,1
